"Popolazione residente al 1° Gennaio 2019 per sesso età e stato civile (n)"
"Provincia:","Trieste","Codice Provincia:","032"
"Codice comune","Denominazione","Età","Maschi celibi","Maschi coniugati","Maschi divorziati","Maschi vedovi","Maschi uniti civilmente","Maschi già in unione civile (per scioglimento)","Maschi già in unione civile (per decesso del partner)","Totale Maschi","Femmine nubili","Femmine coniugate","Femmine divorziate","Femmine vedove","Femmine unite civilmente","Femmine già in unione civile (per scioglimento)","Femmine già in unione civile (per decesso del partner)","Totale Femmine"
"032001","Duino Auresina-Devin Nabrežina",0,22,0,0,0,,,,22,13,0,0,0,,,,13
"032001","Duino Auresina-Devin Nabrežina",1,28,0,0,0,,,,28,28,0,0,0,,,,28
"032001","Duino Auresina-Devin Nabrežina",2,24,0,0,0,,,,24,25,0,0,0,,,,25
"032001","Duino Auresina-Devin Nabrežina",3,16,0,0,0,,,,16,20,0,0,0,,,,20
"032001","Duino Auresina-Devin Nabrežina",4,31,0,0,0,,,,31,17,0,0,0,,,,17
"032001","Duino Auresina-Devin Nabrežina",5,31,0,0,0,,,,31,16,0,0,0,,,,16
"032001","Duino Auresina-Devin Nabrežina",6,21,0,0,0,,,,21,30,0,0,0,,,,30
"032001","Duino Auresina-Devin Nabrežina",7,28,0,0,0,,,,28,25,0,0,0,,,,25
"032001","Duino Auresina-Devin Nabrežina",8,35,0,0,0,,,,35,28,0,0,0,,,,28
"032001","Duino Auresina-Devin Nabrežina",9,32,0,0,0,,,,32,27,0,0,0,,,,27
"032001","Duino Auresina-Devin Nabrežina",10,32,0,0,0,,,,32,33,0,0,0,,,,33
"032001","Duino Auresina-Devin Nabrežina",11,36,0,0,0,,,,36,42,0,0,0,,,,42
"032001","Duino Auresina-Devin Nabrežina",12,38,0,0,0,,,,38,48,0,0,0,,,,48
"032001","Duino Auresina-Devin Nabrežina",13,36,0,0,0,,,,36,32,0,0,0,,,,32
"032001","Duino Auresina-Devin Nabrežina",14,40,0,0,0,,,,40,42,0,0,0,,,,42
"032001","Duino Auresina-Devin Nabrežina",15,36,0,0,0,,,,36,34,0,0,0,,,,34
"032001","Duino Auresina-Devin Nabrežina",16,32,0,0,0,,,,32,36,0,0,0,,,,36
"032001","Duino Auresina-Devin Nabrežina",17,38,0,0,0,,,,38,45,0,0,0,,,,45
"032001","Duino Auresina-Devin Nabrežina",18,38,0,0,0,,,,38,38,0,0,0,,,,38
"032001","Duino Auresina-Devin Nabrežina",19,43,0,0,0,,,,43,28,0,0,0,,,,28
"032001","Duino Auresina-Devin Nabrežina",20,31,0,0,0,,,,31,22,0,0,0,,,,22
"032001","Duino Auresina-Devin Nabrežina",21,47,0,0,0,,,,47,43,0,0,0,,,,43
"032001","Duino Auresina-Devin Nabrežina",22,28,0,0,0,,,,28,45,0,0,0,,,,45
"032001","Duino Auresina-Devin Nabrežina",23,33,0,0,0,,,,33,40,0,0,0,,,,40
"032001","Duino Auresina-Devin Nabrežina",24,33,0,0,0,,,,33,31,0,0,0,,,,31
"032001","Duino Auresina-Devin Nabrežina",25,41,0,0,0,,,,41,36,0,0,0,,,,36
"032001","Duino Auresina-Devin Nabrežina",26,36,0,0,0,,,,36,31,1,0,0,,,,32
"032001","Duino Auresina-Devin Nabrežina",27,38,1,0,0,,,,39,34,7,0,0,,,,41
"032001","Duino Auresina-Devin Nabrežina",28,35,1,0,0,,,,36,26,4,0,0,,,,30
"032001","Duino Auresina-Devin Nabrežina",29,31,1,0,0,,,,32,26,1,0,0,,,,27
"032001","Duino Auresina-Devin Nabrežina",30,21,7,0,0,,,,28,17,6,0,0,,,,23
"032001","Duino Auresina-Devin Nabrežina",31,22,5,0,0,,,,27,16,6,1,0,,,,23
"032001","Duino Auresina-Devin Nabrežina",32,21,5,0,0,,,,26,12,8,2,0,,,,22
