Popolazione residente al 1° Gennaio 2021 per età sesso e stato civile (n)
"Provincia:","Trieste","Codice Provincia:","032"
"Codice comune","Denominazione","Età","Maschi celibi","Maschi coniugati","Maschi divorziati","Maschi vedovi","Maschi uniti civilmente","Maschi già in unione civile (per scioglimento)","Maschi già in unione civile (per decesso del partner)","Totale Maschi","Femmine nubili","Femmine coniugate","Femmine divorziate","Femmine vedove","Femmine unite civilmente","Femmine già in unione civile (per scioglimento)","Femmine già in unione civile (per decesso del partner)","Totale Femmine"
"032001","Duino Auresina-Devin Nabrežina",0,15,0,0,0,,,,15,21,0,0,0,,,,21
"032001","Duino Auresina-Devin Nabrežina",1,19,0,0,0,,,,19,19,0,0,0,,,,19
"032001","Duino Auresina-Devin Nabrežina",2,21,0,0,0,,,,21,12,0,0,0,,,,12
"032001","Duino Auresina-Devin Nabrežina",3,32,0,0,0,,,,32,32,0,0,0,,,,32
"032001","Duino Auresina-Devin Nabrežina",4,28,0,0,0,,,,28,27,0,0,0,,,,27
"032001","Duino Auresina-Devin Nabrežina",5,19,0,0,0,,,,19,21,0,0,0,,,,21
"032001","Duino Auresina-Devin Nabrežina",6,29,0,0,0,,,,29,20,0,0,0,,,,20
"032001","Duino Auresina-Devin Nabrežina",7,28,0,0,0,,,,28,19,0,0,0,,,,19
"032001","Duino Auresina-Devin Nabrežina",8,24,0,0,0,,,,24,33,0,0,0,,,,33
"032001","Duino Auresina-Devin Nabrežina",9,29,0,0,0,,,,29,26,0,0,0,,,,26
"032001","Duino Auresina-Devin Nabrežina",10,34,0,0,0,,,,34,33,0,0,0,,,,33
"032001","Duino Auresina-Devin Nabrežina",11,35,0,0,0,,,,35,27,0,0,0,,,,27
"032001","Duino Auresina-Devin Nabrežina",12,34,0,0,0,,,,34,33,0,0,0,,,,33
"032001","Duino Auresina-Devin Nabrežina",13,38,0,0,0,,,,38,44,0,0,0,,,,44
"032001","Duino Auresina-Devin Nabrežina",14,37,0,0,0,,,,37,48,0,0,0,,,,48
"032001","Duino Auresina-Devin Nabrežina",15,38,0,0,0,,,,38,34,0,0,0,,,,34
"032001","Duino Auresina-Devin Nabrežina",16,42,0,0,0,,,,42,41,0,0,0,,,,41
"032001","Duino Auresina-Devin Nabrežina",17,36,0,0,0,,,,36,34,0,0,0,,,,34
"032001","Duino Auresina-Devin Nabrežina",18,35,0,0,0,,,,35,40,0,0,0,,,,40
"032001","Duino Auresina-Devin Nabrežina",19,39,0,0,0,,,,39,43,0,0,0,,,,43
"032001","Duino Auresina-Devin Nabrežina",20,38,0,0,0,,,,38,38,0,0,0,,,,38
"032001","Duino Auresina-Devin Nabrežina",21,40,0,0,0,,,,40,29,0,0,0,,,,29
"032001","Duino Auresina-Devin Nabrežina",22,31,0,0,0,,,,31,23,0,0,0,,,,23
"032001","Duino Auresina-Devin Nabrežina",23,51,0,0,0,,,,51,41,0,0,0,,,,41
"032001","Duino Auresina-Devin Nabrežina",24,31,0,0,0,,,,31,42,1,0,0,,,,43
"032001","Duino Auresina-Devin Nabrežina",25,36,0,0,0,,,,36,35,0,0,0,,,,35
"032001","Duino Auresina-Devin Nabrežina",26,36,1,0,0,,,,37,28,0,0,0,,,,28
"032001","Duino Auresina-Devin Nabrežina",27,38,0,0,0,,,,38,26,4,0,0,,,,30
"032001","Duino Auresina-Devin Nabrežina",28,34,1,0,0,,,,35,26,1,0,0,,,,27
"032001","Duino Auresina-Devin Nabrežina",29,32,2,0,0,,,,34,27,8,0,0,,,,35
"032001","Duino Auresina-Devin Nabrežina",30,30,2,0,0,,,,32,24,6,0,1,,,,31
"032001","Duino Auresina-Devin Nabrežina",31,29,5,0,0,,,,34,21,3,0,0,,,,24
