Popolazione residente al 1° Gennaio 2022 per età sesso e stato civile (dati provvisori)
"Provincia:","Trieste","Codice Provincia:","032"
"Codice comune","Denominazione","Età","Maschi celibi","Maschi coniugati","Maschi divorziati","Maschi vedovi","Maschi uniti civilmente","Maschi già in unione civile (per scioglimento)","Maschi già in unione civile (per decesso del partner)","Totale Maschi","Femmine nubili","Femmine coniugate","Femmine divorziate","Femmine vedove","Femmine unite civilmente","Femmine già in unione civile (per scioglimento)","Femmine già in unione civile (per decesso del partner)","Totale Femmine"
"032001","Duino Auresina-Devin Nabrežina",0,,,,,,,,21,,,,,,,,14
"032001","Duino Auresina-Devin Nabrežina",1,,,,,,,,17,,,,,,,,21
"032001","Duino Auresina-Devin Nabrežina",2,,,,,,,,21,,,,,,,,18
"032001","Duino Auresina-Devin Nabrežina",3,,,,,,,,21,,,,,,,,14
"032001","Duino Auresina-Devin Nabrežina",4,,,,,,,,31,,,,,,,,35
"032001","Duino Auresina-Devin Nabrežina",5,,,,,,,,27,,,,,,,,27
"032001","Duino Auresina-Devin Nabrežina",6,,,,,,,,19,,,,,,,,20
"032001","Duino Auresina-Devin Nabrežina",7,,,,,,,,26,,,,,,,,23
"032001","Duino Auresina-Devin Nabrežina",8,,,,,,,,24,,,,,,,,21
"032001","Duino Auresina-Devin Nabrežina",9,,,,,,,,25,,,,,,,,35
"032001","Duino Auresina-Devin Nabrežina",10,,,,,,,,31,,,,,,,,27
"032001","Duino Auresina-Devin Nabrežina",11,,,,,,,,35,,,,,,,,34
"032001","Duino Auresina-Devin Nabrežina",12,,,,,,,,34,,,,,,,,27
"032001","Duino Auresina-Devin Nabrežina",13,,,,,,,,36,,,,,,,,34
"032001","Duino Auresina-Devin Nabrežina",14,,,,,,,,38,,,,,,,,43
"032001","Duino Auresina-Devin Nabrežina",15,,,,,,,,38,,,,,,,,50
"032001","Duino Auresina-Devin Nabrežina",16,,,,,,,,40,,,,,,,,35
"032001","Duino Auresina-Devin Nabrežina",17,,,,,,,,43,,,,,,,,41
"032001","Duino Auresina-Devin Nabrežina",18,,,,,,,,37,,,,,,,,32
"032001","Duino Auresina-Devin Nabrežina",19,,,,,,,,34,,,,,,,,39
"032001","Duino Auresina-Devin Nabrežina",20,,,,,,,,42,,,,,,,,42
"032001","Duino Auresina-Devin Nabrežina",21,,,,,,,,42,,,,,,,,44
"032001","Duino Auresina-Devin Nabrežina",22,,,,,,,,42,,,,,,,,33
"032001","Duino Auresina-Devin Nabrežina",23,,,,,,,,33,,,,,,,,25
"032001","Duino Auresina-Devin Nabrežina",24,,,,,,,,51,,,,,,,,42
"032001","Duino Auresina-Devin Nabrežina",25,,,,,,,,34,,,,,,,,41
"032001","Duino Auresina-Devin Nabrežina",26,,,,,,,,37,,,,,,,,42
"032001","Duino Auresina-Devin Nabrežina",27,,,,,,,,40,,,,,,,,28
"032001","Duino Auresina-Devin Nabrežina",28,,,,,,,,39,,,,,,,,30
"032001","Duino Auresina-Devin Nabrežina",29,,,,,,,,38,,,,,,,,31
"032001","Duino Auresina-Devin Nabrežina",30,,,,,,,,38,,,,,,,,38
"032001","Duino Auresina-Devin Nabrežina",31,,,,,,,,37,,,,,,,,37
"032001","Duino Auresina-Devin Nabrežina",32,,,,,,,,38,,,,,,,,27
"032001","Duino Auresina-Devin Nabrežina",33,,,,,,,,34,,,,,,,,33
"032001","Duino Auresina-Devin Nabrežina",34,,,,,,,,26,,,,,,,,28
"032001","Duino Auresina-Devin Nabrežina",35,,,,,,,,29,,,,,,,,23
"032001","Duino Auresina-Devin Nabrežina",36,,,,,,,,36,,,,,,,,30
"032001","Duino Auresina-Devin Nabrežina",37,,,,,,,,18,,,,,,,,37
"032001","Duino Auresina-Devin Nabrežina",38,,,,,,,,29,,,,,,,,34
"032001","Duino Auresina-Devin Nabrežina",39,,,,,,,,37,,,,,,,,41
"032001","Duino Auresina-Devin Nabrežina",40,,,,,,,,35,,,,,,,,25
"032001","Duino Auresina-Devin Nabrežina",41,,,,,,,,41,,,,,,,,30
"032001","Duino Auresina-Devin Nabrežina",42,,,,,,,,47,,,,,,,,39
"032001","Duino Auresina-Devin Nabrežina",43,,,,,,,,34,,,,,,,,56
"032001","Duino Auresina-Devin Nabrežina",44,,,,,,,,58,,,,,,,,56
"032001","Duino Auresina-Devin Nabrežina",45,,,,,,,,37,,,,,,,,59
"032001","Duino Auresina-Devin Nabrežina",46,,,,,,,,65,,,,,,,,55
"032001","Duino Auresina-Devin Nabrežina",47,,,,,,,,79,,,,,,,,55
"032001","Duino Auresina-Devin Nabrežina",48,,,,,,,,61,,,,,,,,68
"032001","Duino Auresina-Devin Nabrežina",49,,,,,,,,87,,,,,,,,80
"032001","Duino Auresina-Devin Nabrežina",50,,,,,,,,69,,,,,,,,80
"032001","Duino Auresina-Devin Nabrežina",51,,,,,,,,71,,,,,,,,68
"032001","Duino Auresina-Devin Nabrežina",52,,,,,,,,68,,,,,,,,66
"032001","Duino Auresina-Devin Nabrežina",53,,,,,,,,84,,,,,,,,71
"032001","Duino Auresina-Devin Nabrežina",54,,,,,,,,77,,,,,,,,80
"032001","Duino Auresina-Devin Nabrežina",55,,,,,,,,94,,,,,,,,76
"032001","Duino Auresina-Devin Nabrežina",56,,,,,,,,92,,,,,,,,99
"032001","Duino Auresina-Devin Nabrežina",57,,,,,,,,76,,,,,,,,85
"032001","Duino Auresina-Devin Nabrežina",58,,,,,,,,67,,,,,,,,70
"032001","Duino Auresina-Devin Nabrežina",59,,,,,,,,61,,,,,,,,82
"032001","Duino Auresina-Devin Nabrežina",60,,,,,,,,72,,,,,,,,68
"032001","Duino Auresina-Devin Nabrežina",61,,,,,,,,81,,,,,,,,68
"032001","Duino Auresina-Devin Nabrežina",62,,,,,,,,75,,,,,,,,70
"032001","Duino Auresina-Devin Nabrežina",63,,,,,,,,66,,,,,,,,52
"032001","Duino Auresina-Devin Nabrežina",64,,,,,,,,53,,,,,,,,75
"032001","Duino Auresina-Devin Nabrežina",65,,,,,,,,65,,,,,,,,51
"032001","Duino Auresina-Devin Nabrežina",66,,,,,,,,59,,,,,,,,85
"032001","Duino Auresina-Devin Nabrežina",67,,,,,,,,45,,,,,,,,67
"032001","Duino Auresina-Devin Nabrežina",68,,,,,,,,61,,,,,,,,62
"032001","Duino Auresina-Devin Nabrežina",69,,,,,,,,59,,,,,,,,48
"032001","Duino Auresina-Devin Nabrežina",70,,,,,,,,47,,,,,,,,50
"032001","Duino Auresina-Devin Nabrežina",71,,,,,,,,55,,,,,,,,64
"032001","Duino Auresina-Devin Nabrežina",72,,,,,,,,64,,,,,,,,53
"032001","Duino Auresina-Devin Nabrežina",73,,,,,,,,54,,,,,,,,54
"032001","Duino Auresina-Devin Nabrežina",74,,,,,,,,47,,,,,,,,62
"032001","Duino Auresina-Devin Nabrežina",75,,,,,,,,64,,,,,,,,61
"032001","Duino Auresina-Devin Nabrežina",76,,,,,,,,31,,,,,,,,42
"032001","Duino Auresina-Devin Nabrežina",77,,,,,,,,37,,,,,,,,43
"032001","Duino Auresina-Devin Nabrežina",78,,,,,,,,31,,,,,,,,54
"032001","Duino Auresina-Devin Nabrežina",79,,,,,,,,40,,,,,,,,61
"032001","Duino Auresina-Devin Nabrežina",80,,,,,,,,42,,,,,,,,47
"032001","Duino Auresina-Devin Nabrežina",81,,,,,,,,44,,,,,,,,73
"032001","Duino Auresina-Devin Nabrežina",82,,,,,,,,42,,,,,,,,61
"032001","Duino Auresina-Devin Nabrežina",83,,,,,,,,53,,,,,,,,63
"032001","Duino Auresina-Devin Nabrežina",84,,,,,,,,39,,,,,,,,43
"032001","Duino Auresina-Devin Nabrežina",85,,,,,,,,21,,,,,,,,54
"032001","Duino Auresina-Devin Nabrežina",86,,,,,,,,29,,,,,,,,47
"032001","Duino Auresina-Devin Nabrežina",87,,,,,,,,16,,,,,,,,36
"032001","Duino Auresina-Devin Nabrežina",88,,,,,,,,19,,,,,,,,25
"032001","Duino Auresina-Devin Nabrežina",89,,,,,,,,13,,,,,,,,28
"032001","Duino Auresina-Devin Nabrežina",90,,,,,,,,13,,,,,,,,26
"032001","Duino Auresina-Devin Nabrežina",91,,,,,,,,9,,,,,,,,34
"032001","Duino Auresina-Devin Nabrežina",92,,,,,,,,2,,,,,,,,19
"032001","Duino Auresina-Devin Nabrežina",93,,,,,,,,7,,,,,,,,12
"032001","Duino Auresina-Devin Nabrežina",94,,,,,,,,3,,,,,,,,7
"032001","Duino Auresina-Devin Nabrežina",95,,,,,,,,1,,,,,,,,10
"032001","Duino Auresina-Devin Nabrežina",96,,,,,,,,1,,,,,,,,4
"032001","Duino Auresina-Devin Nabrežina",97,,,,,,,,0,,,,,,,,8
"032001","Duino Auresina-Devin Nabrežina",98,,,,,,,,0,,,,,,,,5
"032001","Duino Auresina-Devin Nabrežina",99,,,,,,,,1,,,,,,,,1
"032001","Duino Auresina-Devin Nabrežina",100,,,,,,,,1,,,,,,,,4
"032001","Duino Auresina-Devin Nabrežina",Totale,,,,,,,,4083,,,,,,,,4373
"032002","Monrupino-Repentabor",0,,,,,,,,3,,,,,,,,2
"032002","Monrupino-Repentabor",1,,,,,,,,1,,,,,,,,2
"032002","Monrupino-Repentabor",2,,,,,,,,4,,,,,,,,3
"032002","Monrupino-Repentabor",3,,,,,,,,4,,,,,,,,3
"032002","Monrupino-Repentabor",4,,,,,,,,4,,,,,,,,3
"032002","Monrupino-Repentabor",5,,,,,,,,1,,,,,,,,3
