"Popolazione per età, vista per singola area - Comune: 032006 - Trieste"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Trieste"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;1488;1443;1475;1596;1480;1537;1554;1573;1517;1554;1473;1547;1400;1436;1336;1323;1317;1282
1;1509;1490;1437;1485;1582;1482;1513;1534;1558;1531;1550;1478;1535;1385;1422;1347;1327;1306
2;1455;1516;1502;1440;1480;1566;1474;1522;1541;1544;1511;1552;1492;1524;1385;1409;1343;1332
3;1391;1453;1513;1510;1438;1468;1562;1487;1521;1544;1558;1525;1559;1491;1513;1372;1421;1342
4;1392;1400;1433;1517;1507;1441;1471;1555;1498;1535;1545;1569;1537;1560;1506;1513;1371;1436
5;1400;1396;1403;1442;1519;1508;1446;1489;1568;1506;1533;1549;1575;1555;1557;1515;1518;1361
6;1342;1411;1416;1423;1445;1515;1519;1464;1489;1574;1521;1545;1554;1583;1561;1559;1529;1536
7;1399;1345;1421;1421;1426;1446;1515;1522;1477;1506;1580;1534;1550;1566;1591;1556;1564;1536
8;1391;1399;1353;1428;1443;1427;1453;1538;1526;1486;1512;1589;1544;1557;1575;1591;1552;1584
9;1553;1407;1395;1360;1431;1449;1447;1465;1555;1535;1502;1529;1594;1543;1558;1583;1595;1559
10;1481;1557;1418;1409;1359;1431;1457;1450;1491;1564;1528;1512;1538;1596;1546;1560;1597;1598
11;1454;1469;1556;1425;1427;1374;1449;1470;1464;1501;1564;1535;1512;1538;1605;1540;1555;1616
12;1406;1458;1472;1561;1430;1441;1395;1474;1495;1480;1512;1572;1543;1512;1534;1600;1561;1574
13;1384;1408;1469;1481;1573;1439;1455;1428;1501;1506;1484;1514;1586;1559;1529;1536;1604;1578
14;1300;1382;1405;1473;1494;1575;1462;1470;1438;1511;1522;1492;1539;1607;1557;1530;1544;1628
15;1328;1300;1392;1415;1494;1514;1588;1487;1496;1456;1526;1513;1514;1554;1613;1559;1542;1574
16;1383;1323;1297;1398;1425;1515;1545;1610;1501;1501;1461;1544;1531;1508;1574;1623;1560;1572
17;1340;1385;1319;1292;1409;1444;1531;1558;1634;1514;1521;1473;1561;1540;1518;1586;1646;1578
18;1400;1344;1400;1341;1299;1420;1469;1546;1589;1646;1539;1540;1496;1564;1541;1564;1622;1668
19;1407;1417;1348;1410;1361;1337;1461;1501;1599;1611;1662;1554;1563;1516;1583;1577;1612;1665
20;1416;1415;1438;1367;1419;1384;1395;1520;1556;1650;1650;1680;1583;1592;1550;1644;1659;1656
21;1518;1419;1429;1449;1395;1438;1433;1460;1585;1612;1688;1668;1719;1626;1623;1608;1737;1684
22;1553;1540;1446;1458;1481;1417;1491;1510;1540;1642;1657;1717;1711;1753;1661;1694;1686;1791
23;1929;1575;1553;1466;1485;1514;1486;1543;1567;1604;1698;1700;1754;1742;1786;1745;1749;1725
24;1908;1962;1598;1567;1485;1516;1548;1560;1614;1612;1662;1740;1740;1780;1773;1856;1821;1796
25;2343;1953;2034;1674;1597;1534;1576;1633;1633;1675;1669;1694;1773;1777;1833;1846;1951;1874
26;2550;2383;2013;2073;1715;1641;1627;1644;1700;1693;1723;1722;1750;1849;1815;1946;1964;1985
27;2803;2584;2418;2058;2069;1747;1727;1700;1731;1750;1754;1790;1799;1778;1927;1929;2085;2053
28;2897;2846;2623;2445;2088;2091;1800;1801;1757;1785;1810;1832;1871;1849;1843;2009;2034;2152
29;3165;2931;2861;2663;2450;2111;2146;1864;1877;1818;1796;1890;1882;1894;1885;1925;2111;2082
30;3130;3174;2953;2901;2668;2486;2163;2175;1917;1934;1857;1849;1937;1906;1972;1960;1985;2198
31;3154;3133;3204;2980;2894;2670;2523;2211;2211;1945;1951;1902;1894;1944;1951;2048;2013;2040
32;3082;3145;3109;3220;2985;2904;2687;2554;2253;2237;2003;1976;1927;1928;1963;2009;2095;2077
33;3123;3072;3187;3161;3209;2964;2899;2711;2579;2276;2247;2028;2023;1940;1950;2015;2044;2119
34;3122;3133;3086;3192;3161;3215;2995;2920;2718;2604;2319;2271;2060;2075;1962;1996;2036;2091
35;3331;3141;3117;3098;3172;3139;3242;2989;2942;2703;2593;2348;2305;2062;2092;2016;2035;2049
36;3377;3318;3146;3153;3084;3158;3169;3249;2991;2930;2682;2632;2370;2322;2080;2119;2049;2047
37;3442;3387;3297;3127;3146;3091;3182;3170;3272;3034;2931;2718;2659;2383;2342;2068;2137;2083
38;3213;3421;3368;3298;3121;3131;3074;3195;3168;3262;3013;2938;2756;2644;2403;2367;2075;2140
39;3128;3209;3418;3377;3284;3109;3124;3087;3192;3159;3258;3028;2974;2764;2662;2419;2371;2082
40;3000;3104;3206;3408;3373;3278;3104;3133;3086;3177;3156;3254;3067;2981;2773;2673;2452;2386
41;2909;2997;3093;3210;3404;3376;3267;3112;3140;3095;3167;3177;3268;3089;2990;2790;2732;2466
42;2899;2891;2980;3085;3208;3401;3381;3260;3110;3156;3075;3212;3212;3272;3085;3009;2824;2778
43;2798;2896;2889;2989;3071;3210;3416;3386;3270;3108;3140;3094;3213;3220;3269;3080;3017;2848
44;2745;2793;2874;2877;2975;3048;3215;3431;3400;3274;3112;3143;3117;3221;3216;3275;3097;3007
45;2753;2727;2789;2862;2874;2967;3045;3228;3423;3407;3269;3134;3150;3128;3239;3232;3287;3114
46;2706;2748;2725;2788;2862;2870;2961;3063;3226;3423;3417;3272;3174;3151;3130;3235;3235;3291
47;2621;2705;2737;2724;2771;2858;2874;2976;3070;3241;3432;3416;3306;3188;3137;3134;3227;3248
48;2540;2606;2694;2722;2708;2764;2856;2879;2976;3066;3238;3465;3424;3315;3204;3143;3139;3253
49;2665;2534;2578;2683;2708;2709;2769;2862;2879;2991;3051;3247;3459;3437;3331;3188;3152;3155
50;2682;2642;2510;2566;2665;2718;2716;2773;2837;2886;2990;3059;3264;3467;3428;3318;3202;3170
51;2966;2663;2612;2496;2557;2657;2730;2706;2772;2851;2894;3006;3079;3261;3476;3439;3355;3205
52;2857;2942;2645;2609;2496;2543;2670;2739;2705;2754;2845;2893;3016;3098;3260;3465;3464;3357
53;3200;2833;2910;2638;2580;2496;2553;2673;2743;2712;2754;2861;2920;3021;3087;3259;3473;3465
54;3326;3180;2819;2897;2623;2574;2498;2554;2675;2733;2719;2751;2879;2920;3023;3090;3273;3482
55;3396;3314;3159;2816;2870;2602;2569;2504;2572;2678;2719;2711;2766;2885;2912;3013;3095;3298
56;2391;3381;3287;3140;2795;2836;2594;2573;2498;2568;2676;2733;2715;2764;2877;2924;3013;3101
57;2888;2380;3348;3263;3120;2763;2828;2573;2554;2489;2562;2664;2740;2722;2769;2864;2916;3039
58;2977;2857;2350;3318;3252;3107;2753;2803;2582;2546;2485;2555;2671;2747;2702;2766;2862;2910
59;3007;2951;2822;2336;3296;3210;3100;2746;2788;2577;2536;2465;2549;2657;2722;2711;2765;2844
60;3245;2979;2916;2804;2302;3270;3193;3078;2738;2782;2578;2499;2450;2544;2651;2697;2705;2759
61;3475;3206;2947;2889;2788;2277;3258;3163;3057;2710;2773;2560;2489;2448;2556;2634;2703;2710
62;3345;3439;3174;2929;2857;2766;2253;3229;3156;3053;2685;2776;2549;2497;2440;2539;2635;2701
63;3302;3296;3405;3131;2891;2812;2743;2227;3193;3140;3034;2663;2767;2523;2481;2436;2519;2621
64;3027;3259;3241;3359;3084;2857;2795;2718;2214;3160;3101;3008;2650;2755;2493;2469;2437;2495
65;2768;2982;3221;3210;3339;3048;2832;2760;2697;2206;3119;3078;2989;2621;2740;2476;2457;2425
66;2841;2737;2928;3177;3173;3285;2994;2814;2740;2665;2196;3097;3054;2956;2597;2717;2478;2455
67;2685;2795;2686;2898;3137;3140;3265;2977;2771;2699;2642;2177;3064;3024;2934;2586;2699;2442
68;2714;2631;2752;2635;2865;3082;3103;3221;2950;2731;2665;2610;2162;3029;2983;2885;2567;2687
69;2618;2674;2594;2710;2593;2821;3056;3062;3201;2901;2684;2636;2582;2123;3000;2953;2847;2541
70;2706;2560;2618;2540;2671;2571;2773;3022;3023;3157;2857;2652;2590;2549;2102;2966;2937;2812
71;2799;2647;2512;2566;2487;2613;2539;2738;2977;2979;3107;2804;2625;2567;2515;2070;2950;2899
72;2531;2734;2574;2460;2509;2454;2573;2506;2698;2926;2904;3058;2763;2582;2535;2474;2045;2911
73;2368;2456;2644;2519;2385;2444;2418;2518;2447;2647;2880;2839;3003;2703;2554;2477;2430;2014
74;2366;2305;2380;2583;2447;2328;2390;2361;2464;2393;2591;2807;2772;2935;2667;2520;2421;2370
75;2527;2278;2225;2311;2494;2378;2269;2320;2297;2410;2333;2524;2747;2704;2869;2618;2462;2374
76;2530;2428;2178;2138;2264;2430;2319;2198;2261;2223;2353;2275;2471;2654;2639;2808;2560;2409
77;2398;2432;2330;2110;2059;2184;2357;2242;2135;2188;2162;2271;2205;2406;2568;2567;2758;2506
78;2505;2281;2327;2243;2026;1992;2088;2265;2157;2054;2114;2099;2204;2147;2335;2498;2482;2679
79;2598;2383;2171;2203;2148;1956;1917;1996;2171;2054;1973;2033;2032;2141;2045;2260;2422;2391
80;2561;2475;2235;2055;2107;2069;1853;1814;1917;2097;1949;1904;1934;1967;2080;1984;2178;2325
81;2515;2418;2337;2112;1943;2000;1959;1755;1714;1829;1998;1849;1805;1851;1865;1991;1904;2097
82;1609;2354;2260;2180;1980;1831;1875;1855;1669;1615;1734;1876;1754;1712;1750;1765;1884;1823
83;788;1496;2201;2107;2020;1867;1716;1740;1741;1549;1511;1642;1779;1659;1611;1655;1663;1805
84;740;714;1382;2046;1944;1851;1729;1575;1607;1612;1410;1388;1520;1673;1531;1504;1564;1561
85;648;649;654;1255;1854;1759;1716;1589;1462;1467;1493;1319;1288;1423;1543;1432;1400;1457
86;1024;570;579;583;1135;1668;1609;1569;1420;1332;1343;1388;1216;1193;1301;1421;1330;1332
87;1237;917;487;525;518;1009;1500;1429;1400;1273;1195;1208;1262;1112;1080;1188;1290;1229
88;1020;1084;811;423;478;453;909;1317;1261;1243;1135;1050;1067;1144;989;955;1064;1165
