anno,eta,m,f,pop
2022,0,614,635,1249
2022,1,620,618,1238
2022,2,643,592,1235
2022,3,678,660,1338
2022,4,686,671,1357
2022,5,737,666,1403
2022,6,733,675,1408
2022,7,756,712,1468
2022,8,750,655,1405
2022,9,785,760,1545
2022,10,857,715,1572
2022,11,824,796,1620
2022,12,839,780,1619
2022,13,876,769,1645
2022,14,852,796,1648
2022,15,791,810,1601
2022,16,856,752,1608
2022,17,875,779,1654
2022,18,835,796,1631
2022,19,851,768,1619
2022,20,915,813,1728
2022,21,978,847,1825
2022,22,940,872,1812
2022,23,985,888,1873
2022,24,1013,830,1843
2022,25,1035,897,1932
2022,26,1027,872,1899
2022,27,1052,965,2017
2022,28,1137,924,2061
2022,29,1151,999,2150
2022,30,1144,1035,2179
2022,31,1198,1087,2285
2022,32,1206,1043,2249
2022,33,1242,1095,2337
2022,34,1143,1027,2170
2022,35,1152,1010,2162
2022,36,1144,1048,2192
2022,37,1099,1069,2168
2022,38,1109,976,2085
2022,39,1092,1025,2117
2022,40,1073,1029,2102
2022,41,1125,1073,2198
2022,42,1038,1075,2113
2022,43,1210,1198,2408
2022,44,1263,1247,2510
2022,45,1347,1467,2814
2022,46,1359,1475,2834
2022,47,1525,1513,3038
2022,48,1507,1647,3154
2022,49,1701,1610,3311
2022,50,1578,1692,3270
2022,51,1598,1660,3258
2022,52,1566,1616,3182
2022,53,1544,1627,3171
2022,54,1536,1655,3191
2022,55,1623,1729,3352
2022,56,1647,1812,3459
2022,57,1713,1731,3444
2022,58,1625,1654,3279
2022,59,1445,1587,3032
2022,60,1497,1498,2995
2022,61,1400,1460,2860
2022,62,1346,1451,2797
2022,63,1258,1448,2706
2022,64,1231,1406,2637
2022,65,1286,1330,2616
2022,66,1152,1362,2514
2022,67,1135,1275,2410
2022,68,1029,1277,2306
2022,69,1068,1292,2360
2022,70,1044,1273,2317
2022,71,1101,1467,2568
2022,72,1077,1357,2434
2022,73,1193,1452,2645
2022,74,1169,1572,2741
2022,75,1208,1500,2708
2022,76,840,1030,1870
2022,77,901,1286,2187
2022,78,950,1241,2191
2022,79,922,1260,2182
2022,80,926,1309,2235
2022,81,972,1383,2355
2022,82,831,1272,2103
2022,83,788,1208,1996
2022,84,692,1089,1781
2022,85,522,931,1453
2022,86,515,865,1380
2022,87,426,783,1209
2022,88,369,720,1089
2022,89,304,638,942
2022,90,256,541,797
2022,91,211,508,719
2022,92,140,427,567
2022,93,117,306,423
2022,94,77,277,354
2022,95,67,238,305
2022,96,50,193,243
2022,97,28,121,149
2022,98,31,108,139
2022,99,12,80,92
2022,100,19,133,152
